league.year,league.name,ident,phase.name,entry.name,S_STINT,S_FIRST,S_LAST,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_SB,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
1915,Buckeye League,1915-BUCK:allison,regular,Canton,0,1915-05-19,1915-05-31,8,28,1,5,,,,,0,0,0,0,0,0,8,0,0,8
1915,Buckeye League,1915-BUCK:baird,regular,Akron,1,1915-05-24,1915-05-24,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:baird,regular,Newark,2,1915-05-31,1915-05-31,2,1,0,0,,,,,1,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:baird,regular,#TOTAL,T,1915-05-24,1915-05-31,3,1,0,0,,,,,2,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:barnhart,regular,Canton,0,1915-05-19,1915-05-31,3,5,0,1,,,,,3,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:beeney,regular,Canton,0,1915-06-06,1915-06-11,6,15,0,2,,,,,0,6,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:benner,regular,Newark,0,1915-06-10,1915-06-10,1,1,1,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:biggs,regular,Canton,0,1915-06-05,1915-06-05,1,,,,,,,,0,1,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:black,regular,Findlay,0,1915-06-17,1915-07-05,11,24,2,8,2,1,1,,9,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:blanchard,regular,Newark,0,1915-05-24,1915-07-05,33,122,14,27,7,1,,,1,12,0,0,0,0,23,3,2,19
1915,Buckeye League,1915-BUCK:blubaugh,regular,Newark,0,1915-06-16,1915-07-02,7,12,1,1,,,,,6,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:blue,regular,Findlay,0,1915-05-19,1915-07-05,37,135,14,25,1,,2,3,0,0,0,2,0,35,0,0,0,0
1915,Buckeye League,1915-BUCK:bond,regular,Lima,0,1915-05-23,1915-07-05,11,25,3,4,1,,,,11,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:bonin,regular,Marion,0,1915-05-19,1915-06-10,15,57,14,26,8,,1,11,0,0,0,0,0,0,15,1,0,14
1915,Buckeye League,1915-BUCK:booie,regular,Newark,0,1915-05-19,1915-05-23,4,15,1,4,1,,,,0,0,4,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:bresnahan,regular,Findlay,0,1915-06-25,1915-07-05,11,39,5,7,,,,2,0,0,0,0,11,0,0,0,0,0
1915,Buckeye League,1915-BUCK:breymaier,regular,Marion,0,1915-05-19,1915-06-10,15,48,5,11,2,,,2,0,15,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:byatt,regular,Akron,1,1915-05-19,1915-07-02,24,100,21,21,2,1,1,13,0,0,0,0,0,0,24,1,22,2
1915,Buckeye League,1915-BUCK:byatt,regular,Canton,2,1915-06-06,1915-06-11,4,16,2,4,1,,,,0,0,0,0,0,0,4,0,3,1
1915,Buckeye League,1915-BUCK:byatt,regular,#TOTAL,T,1915-05-19,1915-07-02,28,116,23,25,3,1,1,13,0,0,0,0,0,0,28,1,25,3
1915,Buckeye League,1915-BUCK:carpenter,regular,Newark,0,1915-06-13,1915-06-13,1,3,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:chapman,regular,Findlay,0,1915-05-19,1915-07-05,36,128,20,31,2,1,2,9,0,0,36,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:clark-akr+can,regular,Akron,1,1915-05-22,1915-05-31,9,25,2,5,,,,1,0,0,0,9,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:clark-akr+can,regular,Canton,2,1915-06-06,1915-06-10,3,7,2,1,,,,,0,0,0,3,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:clark-akr+can,regular,#TOTAL,T,1915-05-22,1915-06-10,12,32,4,6,,,,1,0,0,0,12,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:clark-lim,regular,Lima,0,1915-05-21,1915-06-30,22,69,8,10,1,,,,13,0,0,0,0,0,8,4,0,4
1915,Buckeye League,1915-BUCK:connor,regular,Akron,1,1915-05-28,1915-05-31,2,3,0,0,,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:connor,regular,Canton,2,1915-06-04,1915-06-11,6,12,0,2,2,,,,4,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:connor,regular,#TOTAL,T,1915-05-28,1915-06-11,8,15,0,2,2,,,,6,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:cook,regular,Canton,0,1915-06-10,1915-06-11,2,8,1,2,,,,2,0,0,0,0,1,1,0,0,0,0
1915,Buckeye League,1915-BUCK:costello,regular,Findlay,0,1915-05-19,1915-07-05,37,125,23,31,1,1,4,8,0,0,1,0,0,0,37,0,37,0
1915,Buckeye League,1915-BUCK:cronin,regular,Lima,0,1915-05-19,1915-06-17,19,67,15,23,4,3,,11,0,0,0,1,0,18,0,0,0,0
1915,Buckeye League,1915-BUCK:crowder,regular,Newark,0,1915-06-09,1915-06-09,1,5,1,3,,,,,0,0,0,0,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:curtis,regular,Canton,0,1915-05-19,1915-05-31,9,33,4,13,1,,,2,0,0,0,0,0,0,9,1,8,1
1915,Buckeye League,1915-BUCK:daugherty,regular,Newark,0,1915-05-19,1915-06-23,10,26,1,5,,,,,8,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:day,regular,Canton,0,1915-05-19,1915-05-31,9,37,4,10,2,,,3,0,0,0,0,0,0,9,8,1,0
1915,Buckeye League,1915-BUCK:deitrich,regular,Newark,0,1915-06-05,1915-06-20,13,49,8,9,3,,,3,0,0,1,0,1,5,9,0,9,0
1915,Buckeye League,1915-BUCK:dillon,regular,Newark,0,1915-05-19,1915-06-05,5,17,1,2,,,,1,5,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:donaldson,regular,Findlay,0,1915-05-19,1915-06-25,27,108,18,28,3,,,7,1,0,0,1,0,0,27,0,0,27
1915,Buckeye League,1915-BUCK:drake,regular,Newark,0,1915-05-25,1915-06-14,7,14,3,5,,,,1,6,0,0,0,0,0,2,0,0,2
1915,Buckeye League,1915-BUCK:drum,regular,Lima,0,1915-07-02,1915-07-02,1,3,0,0,,,,,0,0,1,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:egan,regular,Findlay,0,1915-05-31,1915-07-05,27,96,14,26,4,3,4,1,0,0,0,0,17,0,10,5,0,5
1915,Buckeye League,1915-BUCK:evers,regular,Newark,0,1915-06-06,1915-06-06,2,5,0,2,,,,1,0,0,0,0,0,2,0,0,0,0
1915,Buckeye League,1915-BUCK:farrell,regular,Newark,0,1915-05-24,1915-05-24,1,4,1,1,,,,1,0,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:ferguson,regular,Canton,0,1915-06-11,1915-06-11,1,4,1,2,,,,1,0,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:fickel,regular,Akron,1,1915-05-26,1915-06-05,8,27,2,4,,,,1,0,0,8,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:fickel,regular,Canton,2,1915-06-10,1915-06-11,2,8,0,2,,,,,0,0,1,0,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:fickel,regular,#TOTAL,T,1915-05-26,1915-06-11,10,35,2,6,,,,1,0,0,9,0,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:fields,regular,Akron,1,1915-05-19,1915-05-25,6,20,0,2,,,,,0,1,0,0,0,0,6,1,0,5
1915,Buckeye League,1915-BUCK:fields,regular,Lima,2,1915-05-23,1915-05-23,1,,,,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:fields,regular,Findlay,3,1915-05-27,1915-06-20,10,24,1,7,3,1,,2,0,10,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:fields,regular,#TOTAL,T,1915-05-19,1915-06-20,17,44,1,9,3,1,,2,1,11,0,0,0,0,6,1,0,5
1915,Buckeye League,1915-BUCK:fletcher,regular,Lima,0,1915-06-23,1915-06-28,7,23,4,8,2,,,1,0,0,0,0,1,6,0,0,0,0
1915,Buckeye League,1915-BUCK:franken,regular,Newark,0,1915-05-27,1915-05-27,1,3,1,1,,,,1,0,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:frech,regular,Findlay,0,1915-05-19,1915-07-05,14,25,3,7,,1,,,13,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:french,regular,Findlay,0,1915-05-24,1915-06-09,5,3,0,0,,,,,5,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:geiger,regular,Newark,0,1915-06-12,1915-06-12,1,1,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:glennon,regular,Akron,0,1915-05-19,1915-07-05,40,142,17,31,3,2,1,15,0,4,6,0,0,1,29,17,5,7
1915,Buckeye League,1915-BUCK:goodwin,regular,Newark,0,1915-06-06,1915-06-10,2,4,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:hall,regular,Findlay,0,1915-05-19,1915-05-19,1,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:hanna,regular,Newark,0,1915-06-10,1915-06-10,1,2,0,1,,,,,0,0,0,0,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:hart,regular,Marion,1,1915-05-19,1915-06-09,6,11,2,0,,,,,5,0,0,0,0,0,1,1,0,0
1915,Buckeye League,1915-BUCK:hart,regular,Newark,2,1915-06-16,1915-07-05,14,31,7,5,2,1,,,7,0,0,0,0,0,5,0,3,3
1915,Buckeye League,1915-BUCK:hart,regular,#TOTAL,T,1915-05-19,1915-07-05,20,42,9,5,2,1,,,12,0,0,0,0,0,6,1,3,3
1915,Buckeye League,1915-BUCK:hawn,regular,Canton,0,1915-06-06,1915-06-06,2,7,0,1,,,,,0,0,0,0,0,0,2,0,0,2
1915,Buckeye League,1915-BUCK:hoffman,regular,Marion,0,1915-05-22,1915-06-10,4,9,0,1,,,,,3,0,0,0,0,0,1,1,0,0
1915,Buckeye League,1915-BUCK:holler,regular,Akron,0,1915-06-04,1915-06-27,23,88,10,15,3,,,3,0,0,0,2,0,20,1,1,0,0
1915,Buckeye League,1915-BUCK:hook,regular,Akron,0,1915-05-19,1915-06-16,17,43,6,5,,1,,,10,0,0,2,1,1,2,2,0,0
1915,Buckeye League,1915-BUCK:humphries,regular,Newark,0,1915-05-19,1915-06-21,23,93,12,28,7,,1,2,0,0,0,23,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:hunt,regular,Newark,0,1915-05-19,1915-05-23,4,16,0,4,1,,,,0,0,0,0,0,0,4,0,4,0
1915,Buckeye League,1915-BUCK:jaekel,regular,Akron,0,1915-05-19,1915-07-02,39,153,34,39,9,3,2,13,0,0,0,3,8,0,28,17,11,0
1915,Buckeye League,1915-BUCK:johnson,regular,Canton,0,1915-05-19,1915-05-31,9,34,2,8,2,1,,,0,0,0,0,0,9,0,0,0,0
1915,Buckeye League,1915-BUCK:judge,regular,Marion,1,1915-05-19,1915-06-10,15,50,4,13,3,,,4,0,0,0,0,0,15,0,0,0,0
1915,Buckeye League,1915-BUCK:judge,regular,Newark,2,1915-06-23,1915-07-05,13,48,5,14,1,3,,1,0,0,0,0,0,13,0,0,0,0
1915,Buckeye League,1915-BUCK:judge,regular,#TOTAL,T,1915-05-19,1915-07-05,28,98,9,27,4,3,,5,0,0,0,0,0,28,0,0,0,0
1915,Buckeye League,1915-BUCK:kirby,regular,Canton,0,1915-05-19,1915-05-31,9,32,1,2,,1,,,0,9,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:koontz,regular,Canton,0,1915-06-08,1915-06-10,2,1,0,0,,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:lamb,regular,Newark,0,1915-05-31,1915-05-31,2,6,0,0,,,,,0,0,1,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:leake,regular,Marion,0,1915-05-22,1915-06-10,11,41,6,7,2,,,4,3,0,1,0,0,0,8,8,0,0
1915,Buckeye League,1915-BUCK:linne,regular,Akron,0,1915-05-21,1915-07-05,16,43,6,7,1,1,,1,13,0,0,0,0,0,3,0,1,2
1915,Buckeye League,1915-BUCK:long.e,regular,Akron,0,1915-05-19,1915-05-23,4,17,2,3,1,,1,1,1,0,0,2,2,0,0,0,0,0
1915,Buckeye League,1915-BUCK:long.frank,regular,Newark,0,1915-05-19,1915-07-05,37,151,26,46,9,1,,2,0,0,0,0,0,0,37,35,0,2
1915,Buckeye League,1915-BUCK:long.shorty,regular,Akron,0,1915-05-23,1915-05-23,1,2,1,1,,1,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mahan,regular,Newark,0,1915-06-25,1915-06-27,2,7,3,1,1,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:malloy-lim,regular,Lima,0,1915-05-19,1915-06-14,18,76,16,23,2,2,,10,0,0,0,0,0,1,17,0,17,0
1915,Buckeye League,1915-BUCK:malloy-new,regular,Newark,0,1915-05-31,1915-06-28,24,83,11,24,1,2,1,5,0,0,23,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:maroney,regular,Lima,0,1915-05-19,1915-07-05,43,142,22,41,11,1,,3,0,43,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:matthews,regular,Lima,0,1915-05-19,1915-07-02,37,149,30,41,11,1,,9,0,0,0,2,0,0,35,4,0,31
1915,Buckeye League,1915-BUCK:mcclellan,regular,Lima,0,1915-05-19,1915-07-02,37,150,29,47,6,1,1,17,0,0,27,0,0,10,0,0,0,0
1915,Buckeye League,1915-BUCK:mccluskey,regular,Findlay,0,1915-05-23,1915-07-02,14,31,4,10,4,,,,12,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:mccullough,regular,Newark,0,1915-05-19,1915-05-23,4,16,0,3,1,,,,0,0,0,0,0,0,4,0,0,4
1915,Buckeye League,1915-BUCK:mcfarland,regular,Newark,0,1915-05-24,1915-05-28,3,12,0,0,,,,,0,0,3,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcgivern,regular,Findlay,0,1915-05-19,1915-07-05,36,100,11,27,3,2,,2,0,34,1,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcgonigle,regular,Marion,0,1915-05-19,1915-06-10,15,55,13,16,3,1,,7,0,0,0,15,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcguire,regular,Findlay,1,1915-05-19,1915-05-30,6,15,2,0,,,,1,0,0,0,0,6,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcguire,regular,Canton,2,1915-06-06,1915-06-11,3,11,0,2,,,,1,0,0,0,1,2,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcguire,regular,#TOTAL,T,1915-05-19,1915-06-11,9,26,2,2,,,,2,0,0,0,1,8,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcguire-can,regular,Canton,0,1915-06-10,1915-06-10,1,4,0,0,,,,,0,0,0,0,1,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mcguire-fin,regular,Findlay,0,1915-05-21,1915-05-26,3,8,2,2,1,,,4,0,0,0,0,3,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mckee,regular,Akron,0,1915-05-23,1915-07-04,23,76,13,26,4,3,1,2,15,0,0,0,0,0,8,1,1,7
1915,Buckeye League,1915-BUCK:mclaughlin,regular,Canton,0,1915-05-19,1915-05-27,4,9,0,1,1,,,,4,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:miller,regular,Newark,1,1915-05-28,1915-05-28,1,4,0,1,,,,1,0,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:miller,regular,Canton,2,1915-06-06,1915-06-11,4,13,3,4,1,,,1,0,0,0,0,0,0,4,4,0,0
1915,Buckeye League,1915-BUCK:miller,regular,Lima,3,1915-06-14,1915-07-02,20,84,11,21,2,1,,4,0,0,0,0,0,0,20,1,17,2
1915,Buckeye League,1915-BUCK:miller,regular,#TOTAL,T,1915-05-28,1915-07-02,25,101,14,26,3,1,,6,0,0,0,0,0,0,25,5,18,2
1915,Buckeye League,1915-BUCK:moore,regular,Newark,0,1915-07-04,1915-07-04,1,3,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:morrin,regular,Canton,0,1915-06-04,1915-06-06,3,7,0,2,,,,,0,1,0,0,0,2,0,0,0,0
1915,Buckeye League,1915-BUCK:munday,regular,Canton,1,1915-05-19,1915-05-31,9,30,5,8,2,1,,,0,0,9,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:munday,regular,Akron,2,1915-06-06,1915-07-02,25,106,22,40,8,2,,8,0,0,25,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:munday,regular,#TOTAL,T,1915-05-19,1915-07-02,34,136,27,48,10,3,,8,0,0,34,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:mundy,regular,Canton,0,1915-05-23,1915-05-25,2,6,1,2,1,,,,0,0,2,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:murray,regular,Lima,0,1915-05-19,1915-07-02,36,140,34,52,7,1,,12,0,0,0,34,0,3,0,0,0,0
1915,Buckeye League,1915-BUCK:myers,regular,Akron,1,1915-05-19,1915-05-21,2,8,1,2,,,,1,0,0,0,0,2,0,0,0,0,0
1915,Buckeye League,1915-BUCK:myers,regular,Newark,2,1915-05-27,1915-05-27,1,5,0,1,,,,,0,0,0,0,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:myers,regular,#TOTAL,T,1915-05-19,1915-05-27,3,13,1,3,,,,1,0,0,0,0,2,1,0,0,0,0
1915,Buckeye League,1915-BUCK:neer,regular,Marion,0,1915-05-19,1915-06-10,15,51,9,17,4,1,2,6,0,0,15,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:newnham,regular,Akron,0,1915-05-19,1915-06-28,34,116,16,24,1,,,4,0,0,0,22,0,12,0,0,0,0
1915,Buckeye League,1915-BUCK:orndolf,regular,Marion,0,1915-05-21,1915-06-10,7,21,5,7,3,,1,1,5,0,0,0,0,0,1,1,0,0
1915,Buckeye League,1915-BUCK:pastourious,regular,Canton,0,1915-06-06,1915-06-11,3,11,1,2,,,,,0,0,3,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:patton,regular,Canton,1,1915-05-19,1915-05-31,9,23,8,3,,,,1,0,0,0,0,9,0,0,0,0,0
1915,Buckeye League,1915-BUCK:patton,regular,Akron,2,1915-06-04,1915-07-02,27,97,17,24,6,1,,10,0,0,0,0,27,0,0,0,0,0
1915,Buckeye League,1915-BUCK:patton,regular,#TOTAL,T,1915-05-19,1915-07-02,36,120,25,27,6,1,,11,0,0,0,0,36,0,0,0,0,0
1915,Buckeye League,1915-BUCK:peak,regular,Akron,0,1915-06-28,1915-07-02,4,14,3,6,2,,,1,0,0,0,0,0,4,0,0,0,0
1915,Buckeye League,1915-BUCK:pearce,regular,Newark,0,1915-05-31,1915-07-05,25,87,13,20,2,1,1,5,0,25,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:pickett,regular,Akron,0,1915-06-22,1915-07-05,7,16,2,3,,1,1,,6,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:piert,regular,Canton,0,1915-06-05,1915-06-05,1,,,,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:plummer,regular,Akron,0,1915-05-25,1915-07-01,18,71,10,24,3,,,1,0,0,0,0,0,0,17,0,0,17
1915,Buckeye League,1915-BUCK:price-akr,regular,Akron,0,1915-06-10,1915-06-10,1,2,1,1,,,,,0,0,0,0,0,0,1,1,0,0
1915,Buckeye League,1915-BUCK:price-mar,regular,Marion,0,1915-05-21,1915-05-31,6,20,1,5,,,,2,0,0,0,0,0,0,5,5,0,0
1915,Buckeye League,1915-BUCK:price-new,regular,Newark,0,1915-05-19,1915-06-05,10,38,2,8,1,,,2,0,0,0,0,0,10,0,0,0,0
1915,Buckeye League,1915-BUCK:prout,regular,Canton,0,1915-05-19,1915-05-31,9,31,5,6,,,,4,0,0,0,9,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:reese,regular,Newark,0,1915-06-28,1915-07-05,6,16,2,3,,,,2,0,0,5,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:reynolds,regular,Lima,0,1915-05-19,1915-07-04,22,63,5,16,2,,1,2,14,0,0,0,1,0,6,5,0,1
1915,Buckeye League,1915-BUCK:richmond,regular,Findlay,0,1915-05-22,1915-06-19,7,16,0,0,,,,,7,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:riley,regular,Newark,0,1915-05-22,1915-05-22,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:roudebush,regular,Newark,0,1915-06-21,1915-07-05,14,47,9,10,2,2,,2,0,0,0,13,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:samuels,regular,Canton,0,1915-05-22,1915-06-10,7,11,0,0,,,,,7,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:schoner,regular,Akron,0,1915-06-06,1915-06-27,3,9,3,3,1,1,,,3,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:schultz,regular,Findlay,0,1915-05-21,1915-07-04,17,27,4,3,1,,,,16,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:schweitzer,regular,Lima,0,1915-05-19,1915-06-12,17,56,28,28,10,1,2,7,0,0,0,0,0,0,17,17,0,0
1915,Buckeye League,1915-BUCK:sherman,regular,Canton,0,1915-06-10,1915-06-10,1,,,,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:smith,regular,Canton,0,1915-05-25,1915-05-25,1,3,0,0,,,,,0,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:spahr,regular,Canton,0,1915-05-28,1915-05-31,2,6,0,0,,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:strawn,regular,Newark,0,1915-05-19,1915-07-05,34,111,9,23,4,1,,4,1,4,0,0,0,5,25,0,18,8
1915,Buckeye League,1915-BUCK:talbot,regular,Akron,0,1915-05-19,1915-07-05,39,145,13,42,9,6,2,13,0,39,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:thoma,regular,Marion,0,1915-05-19,1915-06-10,15,59,12,17,6,1,1,,0,0,0,0,0,0,15,0,15,0
1915,Buckeye League,1915-BUCK:thrapp,regular,Newark,0,1915-06-28,1915-07-05,2,7,0,1,,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:trimmer,regular,Newark,0,1915-05-22,1915-05-22,1,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:walker,regular,Lima,0,1915-05-19,1915-07-05,28,87,10,22,6,3,2,1,11,0,9,1,0,0,8,6,2,0
1915,Buckeye League,1915-BUCK:warden,regular,Lima,0,1915-05-19,1915-07-02,36,143,20,40,9,2,,5,0,0,0,0,35,0,1,1,0,0
1915,Buckeye League,1915-BUCK:weitel,regular,Newark,0,1915-05-23,1915-05-23,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:werner,regular,Findlay,0,1915-05-19,1915-07-05,38,138,24,40,5,7,1,6,1,0,0,0,0,0,37,32,0,5
1915,Buckeye League,1915-BUCK:wetzel,regular,Marion,0,1915-05-19,1915-06-10,15,50,9,12,1,,,2,0,0,0,0,15,0,0,0,0,0
1915,Buckeye League,1915-BUCK:wilhelm,regular,Canton,0,1915-05-21,1915-05-22,2,4,1,2,,,,1,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:wratten,regular,Newark,0,1915-05-19,1915-07-05,37,140,21,30,5,,1,6,1,0,0,0,37,0,0,0,0,0
1915,Buckeye League,1915-BUCK:yockey,regular,Findlay,0,1915-05-19,1915-07-05,37,133,19,33,11,1,2,7,1,0,0,35,0,2,0,0,0,0
