team.league,team.name,team.key
Carolina Association,Anderson,CARAND
Carolina Association,Charlotte,CARCHA
Carolina Association,Greensboro,CARGBO
Carolina Association,Greenville,CARGVL
Carolina Association,Spartanburg,CARSPA
Carolina Association,Winston-Salem,CARWIN
Dallas City League,Brown Crackers,DCTBRN
Dallas City League,Dallas Foundry,DCTFOU
Dallas City League,Moose,DCTMOO
Dallas City League,W. O. W.,DCTWOW
Dallas Commercial League,Butler Brothers,DCMBUT
Dallas Commercial League,City National Bank,DCMCNB
Dallas Commercial League,Guaranty State Bank,DCMGSB
Dallas Commercial League,Magnolia Petroleum,DCMMAG
Dallas Commercial League,Southwestern Telephone,DCMSWT
Dallas Commercial League,Western Electric,DCMWES
Oklahoma State League,Anadarko,OSLANA
Oklahoma State League,Guthrie,OSLGUT
Oklahoma State League,Holdenville,OSLHOL
Oklahoma State League,McAlester,OSLMCA
Oklahoma State League,Muskogee,OSLMUS
Oklahoma State League,Oklahoma City,OSLOKC
Oklahoma State League,Okmulgee,OSLOKM
Oklahoma State League,Tulsa,OSLTUL
South Central League,Cleburne,SCLCLE
South Central League,Longview,SCLLON
South Central League,Marshall,SCLMAR
South Central League,Paris,SCLPAR
South Central League,Texarkana,SCLTEX
South Central League,Tyler,SCLTYL
Texas League,Austin,TEXAUS
Texas League,Beaumont,TEXBEA
Texas League,Dallas,TEXDAL
Texas League,Fort Worth,TEXFTW
Texas League,Galveston,TEXGAL
Texas League,Houston,TEXHOU
Texas League,San Antonio,TEXSAN
Texas League,Waco,TEXWAC
Texas-Oklahoma League,Ardmore,TXOARD
Texas-Oklahoma League,Bonham,TXOBON
Texas-Oklahoma League,Denison,TXODEN
Texas-Oklahoma League,Durant,TXODUR
Texas-Oklahoma League,Greenville,TXOGVL
Texas-Oklahoma League,McKinney,TXOMCK
Texas-Oklahoma League,Sherman,TXOSHE
Texas-Oklahoma League,Wichita Falls,TXOWIC