key,date,number,league,away,away.score,home,home.score,A,T,status,status-reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,away.score.20,away.score.21,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19,home.score.20,home.score.21
b35ca411-c104-54f7-aaf3-c0ba38e2d939,1915-04-22,0,North Carolina State,Greensboro,6,Charlotte,3,1000,2:15,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 23, 1915",2,1,1,0,0,1,0,0,1,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,
4f116985-8d9f-5d15-8958-d495feb02304,1915-04-22,0,North Carolina State,Durham,3,Raleigh,4,3500,2:15,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 23, 1915",0,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,0,0,2,0,0,0,0,0,0,0,1,,,,,,,,
33b78edd-ee24-5c6e-a965-4c7e082f4e1b,1915-04-22,0,North Carolina State,Asheville,7,Winston-Salem,1,1500,1:55,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 23, 1915",3,0,0,1,1,0,1,1,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
fc8efc2f-c101-5042-a615-10f28e91ddb3,1915-04-23,0,North Carolina State,Greensboro,8,Charlotte,4,600,2:25,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 24, 1915",0,0,1,4,2,0,0,0,1,,,,,,,,,,,,,1,1,0,0,0,2,0,0,0,,,,,,,,,,,,
446f2042-bb2e-552b-814d-3e91afa0263c,1915-04-23,0,North Carolina State,Durham,5,Raleigh,3,1000,1:43,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 24, 1915",1,0,0,4,0,0,0,0,0,,,,,,,,,,,,,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,
24462f26-ceec-5367-8e9a-adfcd16251ea,1915-04-23,0,North Carolina State,Asheville,7,Winston-Salem,0,500,2:10,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 24, 1915",5,0,0,0,1,1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
964817d3-4f54-5d43-ae3d-3d2d0a5064ef,1915-04-24,0,North Carolina State,Greensboro,11,Charlotte,5,1300,3:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 25, 1915",0,3,0,0,0,0,1,0,7,,,,,,,,,,,,,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,
100616a9-eef5-5492-ae17-84dbf8a50ffb,1915-04-24,0,North Carolina State,Durham,2,Raleigh,5,825,1:38,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 25, 1915",0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,1,3,0,0,0,1,0,0,x,,,,,,,,,,,,
e0804493-814c-5842-b512-718797e0a8c2,1915-04-24,0,North Carolina State,Asheville,4,Winston-Salem,5,600,2:25,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 25, 1915",2,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,1,0,2,0,0,0,0,0,0,0,0,2,,,,,,,,,
ef5c5995-9494-59e7-8c54-74b1cac009e7,1915-04-26,0,North Carolina State,Asheville,11,Charlotte,5,550,2:20,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 27, 1915",0,0,3,0,0,1,4,1,2,,,,,,,,,,,,,1,0,0,0,0,0,0,4,0,,,,,,,,,,,,
f6ea5271-65d0-5607-8253-71b8aa9bd783,1915-04-26,0,North Carolina State,Winston-Salem,7,Durham,8,2004,2:13,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 27, 1915",3,2,0,0,0,1,0,1,0,,,,,,,,,,,,,3,0,0,0,2,0,1,1,1,,,,,,,,,,,,
ae71efbf-2c20-5c23-a58b-8196abe51312,1915-04-26,0,North Carolina State,Raleigh,10,Greensboro,1,3000,1:55,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 27, 1915",0,3,3,1,1,0,2,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
fc896761-2e76-5e5a-a4a7-b1e2fda2897b,1915-04-27,0,North Carolina State,Asheville,2,Charlotte,0,350,1:35,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 28, 1915",0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
6d22c986-881f-5005-bf17-9dfd5cbe893b,1915-04-27,0,North Carolina State,Winston-Salem,1,Durham,8,350,1:55,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 28, 1915",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,1,1,1,3,0,0,x,,,,,,,,,,,,
3ccc3ac3-3211-531b-aa70-93e4b5c4443a,1915-04-27,0,North Carolina State,Raleigh,5,Greensboro,4,500,2:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 28, 1915",2,0,0,0,0,0,2,0,0,0,0,1,,,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,
e8840282-e843-502f-8c96-32f00bb844b4,1915-04-28,0,North Carolina State,Asheville,12,Charlotte,7,600,2:25,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 29, 1915",0,1,3,0,2,3,0,3,,,,,,,,,,,,,,2,3,0,1,0,1,0,0,,,,,,,,,,,,,
00b48bb5-f7ea-57af-8985-4e04f0886fe7,1915-04-28,0,North Carolina State,Winston-Salem,5,Durham,7,500,2:00,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 29, 1915",1,0,0,0,0,1,1,0,2,,,,,,,,,,,,,1,0,0,2,2,0,2,0,x,,,,,,,,,,,,
124147b7-d3cf-5897-a829-c6a8f6cc90fc,1915-04-28,0,North Carolina State,Raleigh,0,Greensboro,3,350,1:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 29, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,0,0,0,2,x,,,,,,,,,,,,
ca5723e6-18ad-537f-98ee-6b1caba051bf,1915-04-29,0,North Carolina State,Greensboro,1,Asheville,6,2071,2:10,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, April 30, 1915",0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,0,1,2,1,1,0,0,1,x,,,,,,,,,,,,
77df8ed3-9860-5ed1-97e1-b50b3b4427cb,1915-04-29,0,North Carolina State,Charlotte,2,Durham,5,300,1:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, April 30, 1915",0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,0,0,0,2,1,1,0,1,x,,,,,,,,,,,,
659cb8ae-dd73-5252-b908-65815ee27b4a,1915-04-29,0,North Carolina State,Winston-Salem,6,Raleigh,4,850,2:10,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, April 30, 1915",0,0,0,0,0,5,1,0,0,,,,,,,,,,,,,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,
95f9c887-12ce-539b-ad6f-e52460a707a8,1915-04-30,0,North Carolina State,Greensboro,3,Asheville,2,951,2:25,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 1, 1915",0,1,0,0,0,1,0,0,1,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,
41f5f18d-1af0-59f3-8282-c9756e411d44,1915-04-30,0,North Carolina State,Charlotte,1,Durham,6,300,1:40,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 1, 1915",0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,3,0,0,0,0,3,0,0,x,,,,,,,,,,,,
d0e368bc-6c44-55bd-8cd7-4d23c9ade862,1915-04-30,0,North Carolina State,Winston-Salem,4,Raleigh,3,525,1:55,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 1, 1915",2,0,0,0,0,2,0,0,0,,,,,,,,,,,,,0,0,0,0,2,0,0,1,0,,,,,,,,,,,,
4ecf71e6-c3cc-59e5-b01b-744e54021b01,1915-05-01,0,North Carolina State,Greensboro,1,Asheville,2,800,2:05,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 2, 1915",0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,
3cf025b3-ec6f-52ea-bf57-03460fd8cf0c,1915-05-01,0,North Carolina State,Charlotte,3,Durham,8,400,2:00,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 2, 1915",0,0,1,0,0,2,0,0,0,,,,,,,,,,,,,1,0,2,0,0,2,0,3,x,,,,,,,,,,,,
62a9faf1-74f0-5449-bbac-3ff4b83dfac7,1915-05-01,0,North Carolina State,Raleigh,4,Winston-Salem,0,300,1:35,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 2, 1915",1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
b5524652-558e-5805-89ad-78d79389950a,1915-05-03,0,North Carolina State,Durham,3,Asheville,5,600,1:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 4, 1915",2,0,0,0,1,0,0,0,0,,,,,,,,,,,,,4,0,1,0,0,0,0,0,0,,,,,,,,,,,,
c16f808a-5f39-5a45-b685-bb5700d19e66,1915-05-03,0,North Carolina State,Charlotte,3,Raleigh,5,400,1:54,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 4, 1915",0,0,0,1,1,1,0,0,0,,,,,,,,,,,,,0,0,1,0,2,1,1,0,x,,,,,,,,,,,,
e96c8119-605e-5788-a698-47ec3dae0206,1915-05-03,0,North Carolina State,Greensboro,12,Winston-Salem,10,300,2:35,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 4, 1915",0,1,0,0,5,0,0,4,2,,,,,,,,,,,,,0,1,2,2,2,2,0,0,1,,,,,,,,,,,,
903e53d1-cc77-5f56-8907-153ddbb3adb1,1915-05-04,0,North Carolina State,Durham,2,Asheville,4,820,1:53,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 5, 1915",1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,0,2,0,1,0,1,0,0,x,,,,,,,,,,,,
9b516fb5-a528-5ff8-b5ac-f247caf0d129,1915-05-04,0,North Carolina State,Charlotte,0,Raleigh,7,350,1:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 5, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,x,,,,,,,,,,,,
8900c4ac-e7f9-506b-aca5-eda0427e233c,1915-05-04,0,North Carolina State,Greensboro,8,Winston-Salem,5,400,2:21,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 5, 1915",0,2,0,0,1,1,1,3,0,,,,,,,,,,,,,1,0,0,1,0,2,0,1,0,,,,,,,,,,,,
a830b430-8d7e-5377-b160-8cf9fb98599a,1915-05-05,0,North Carolina State,Durham,6,Asheville,3,853,2:05,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 6, 1915",2,0,0,0,1,1,1,0,1,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
7e4c302d-0d6f-5515-85ae-3d31f9298aeb,1915-05-05,0,North Carolina State,Charlotte,3,Raleigh,9,425,1:55,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 6, 1915",0,0,1,2,0,0,0,0,0,,,,,,,,,,,,,2,2,0,4,0,0,1,0,x,,,,,,,,,,,,
034f8ca9-d613-5c98-bbe9-d0f641ad74a8,1915-05-05,0,North Carolina State,Greensboro,5,Winston-Salem,1,300,2:08,,,transcript/1915/1915-CDO/boxes/NCSL-19150429.txt,"Charlotte Daily Observer, May 6, 1915",1,0,0,0,1,3,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
58180777-b012-58cb-b9fd-d7d707645186,1915-05-06,0,North Carolina State,Durham,3,Charlotte,4,600,1:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 7, 1915",0,1,0,2,0,0,0,0,0,,,,,,,,,,,,,1,0,1,1,0,0,0,1,x,,,,,,,,,,,,
539c048f-04c1-5d7d-a14b-8068f7195124,1915-05-06,0,North Carolina State,Asheville,6,Greensboro,3,800,2:00,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 7, 1915",1,0,3,1,0,1,0,0,0,,,,,,,,,,,,,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,
ae908a94-8ba8-5b82-b53f-27b625baf1ee,1915-05-06,0,North Carolina State,Raleigh,8,Winston-Salem,0,300,2:03,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 7, 1915",1,0,0,0,4,0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
618050cf-20b0-520d-9aad-cba0894d46f5,1915-05-07,0,North Carolina State,Durham,,Charlotte,,,,postponed,rain,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771b5af0-81dd-5e27-91a6-e50bdd198c41,1915-05-07,0,North Carolina State,Asheville,,Greensboro,,,,postponed,rain,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c0d0e09-b46e-5971-b60b-f62ab3357282,1915-05-07,0,North Carolina State,Raleigh,,Winston-Salem,,,,postponed,rain,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb8797bc-6edc-55b8-8429-adb1f8b07378,1915-05-08,0,North Carolina State,Durham,16,Charlotte,12,1000,2:40,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 9, 1915",1,5,4,0,3,1,0,0,2,,,,,,,,,,,,,0,1,2,4,2,0,1,2,0,,,,,,,,,,,,
ccdaccde-a946-57fe-b5ff-f36ac9510681,1915-05-08,0,North Carolina State,Asheville,2,Greensboro,1,1000,1:50,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 9, 1915",0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
458bb20f-922d-5698-a017-abe9d00194e1,1915-05-08,1,North Carolina State,Raleigh,17,Winston-Salem,7,550,2:20,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 9, 1915",0,0,2,0,0,0,7,8,0,,,,,,,,,,,,,1,0,0,1,0,1,4,0,0,,,,,,,,,,,,
26700d74-58c4-5f7b-9351-28059a2bc5e4,1915-05-08,2,North Carolina State,Raleigh,6,Winston-Salem,3,1000,1:15,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 9, 1915",1,2,0,0,0,3,0,,,,,,,,,,,,,,,0,0,3,0,0,0,0,,,,,,,,,,,,,,
1621dbcc-61b3-51d8-b491-5a2fbf4851d4,1915-05-10,0,North Carolina State,Winston-Salem,2,Asheville,12,759,1:50,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 11, 1915",0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,0,5,0,5,1,1,0,0,x,,,,,,,,,,,,
a41b8205-69f4-5d22-9cd9-bbe60c339a9b,1915-05-10,0,North Carolina State,Raleigh,7,Durham,8,1224,2:05,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 11, 1915",0,0,3,2,1,0,0,0,0,0,0,,,,,,,,,,,0,0,3,0,2,0,2,0,0,0,1,,,,,,,,,,
02b10582-6182-5127-a860-0b1b21473454,1915-05-10,0,North Carolina State,Charlotte,5,Greensboro,7,500,2:00,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 11, 1915",0,0,0,0,0,2,2,0,1,,,,,,,,,,,,,2,0,1,0,0,0,4,0,x,,,,,,,,,,,,
751a897e-6c7c-52d8-9aa1-d7cb5322b946,1915-05-11,0,North Carolina State,Winston-Salem,3,Asheville,6,347,1:50,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 12, 1915",0,0,2,1,0,0,0,0,0,,,,,,,,,,,,,0,0,3,0,0,0,3,0,x,,,,,,,,,,,,
ec748ef6-7a4e-5ca2-8667-7472418feba9,1915-05-11,0,North Carolina State,Raleigh,1,Durham,4,400,1:18,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 12, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,x,,,,,,,,,,,,
2deaef5e-958b-5977-8b51-5fdda7599770,1915-05-11,0,North Carolina State,Charlotte,3,Greensboro,0,250,2:00,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 12, 1915",1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
83b97701-e025-5b91-9913-fa19ecabda0e,1915-05-12,0,North Carolina State,Winston-Salem,6,Asheville,5,472,2:20,,,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 13, 1915",1,2,0,2,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,2,0,3,0,,,,,,,,,,,,
fdbf735a-a753-5989-a7a3-fc85cd00b6be,1915-05-12,0,North Carolina State,Raleigh,,Durham,,,,postponed,rain,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 13, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35811d4c-1a2f-5365-89fd-949eb4a6296e,1915-05-12,0,North Carolina State,Charlotte,,Greensboro,,,,postponed,rain,transcript/1915/1915-CDO/boxes/NCSL-19150506.txt,"Charlotte Daily Observer, May 13, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036e13cb-d328-5881-b82f-55313daa9118,1915-05-13,0,North Carolina State,Charlotte,7,Asheville,12,648,2:00,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 14, 1915",1,2,0,2,0,0,0,0,2,,,,,,,,,,,,,1,0,4,3,0,0,1,3,x,,,,,,,,,,,,
ca45720a-7f2b-5cbf-9eb9-e1d8fdf66a61,1915-05-13,0,North Carolina State,Greensboro,0,Raleigh,1,750,1:50,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 14, 1915",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
e786906b-5309-50fc-9868-93f4a8e4a49f,1915-05-13,0,North Carolina State,Durham,11,Winston-Salem,10,500,2:17,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 14, 1915",3,4,1,2,0,0,0,0,1,,,,,,,,,,,,,3,3,0,1,0,1,0,0,2,,,,,,,,,,,,
29e8060a-fec7-5c9f-bb1b-d609fbaf32a9,1915-05-14,0,North Carolina State,Charlotte,10,Asheville,5,493,2:20,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 15, 1915",1,3,0,0,1,4,0,0,1,,,,,,,,,,,,,2,0,1,0,0,1,0,1,0,,,,,,,,,,,,
c1ca01c5-93da-5ce9-b20c-f63cef1df693,1915-05-14,0,North Carolina State,Greensboro,3,Raleigh,4,700,1:50,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 15, 1915",0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,0,2,0,0,0,0,2,0,x,,,,,,,,,,,,
5f7859cb-0b5a-5bdf-952e-4ad0568418c3,1915-05-14,0,North Carolina State,Durham,11,Winston-Salem,5,300,1:57,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 15, 1915",0,0,0,0,4,2,3,2,0,,,,,,,,,,,,,1,0,0,0,0,0,0,4,0,,,,,,,,,,,,
69f8a2de-d947-540a-a011-0a37de43615a,1915-05-15,0,North Carolina State,Charlotte,2,Asheville,8,718,1:55,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 16, 1915",1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,0,1,0,6,1,0,0,0,0,,,,,,,,,,,,
bd09fe49-5e3f-5efd-bcf9-4bc3dcb321c6,1915-05-15,0,North Carolina State,Greensboro,5,Raleigh,1,1000,1:50,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 16, 1915",0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
7d39ad78-eacc-58c9-8c3c-82ab8bc90f59,1915-05-15,0,North Carolina State,Durham,5,Winston-Salem,4,521,2:10,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 16, 1915",0,1,0,0,1,1,0,1,1,,,,,,,,,,,,,3,0,0,0,0,0,0,1,0,,,,,,,,,,,,
dec34189-4cdb-5657-b03d-e55e52e0ce60,1915-05-17,0,North Carolina State,Winston-Salem,4,Charlotte,3,550,2:45,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 18, 1915",0,0,1,0,1,0,0,0,1,0,1,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
030fd8f3-33ec-5082-93a1-daab98da6bfe,1915-05-17,0,North Carolina State,Greensboro,4,Durham,3,550,2:15,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 18, 1915",0,0,3,0,1,0,0,0,0,,,,,,,,,,,,,0,2,0,0,0,0,0,1,0,,,,,,,,,,,,
685e06e6-fe23-5978-a002-b2f3945cad67,1915-05-17,0,North Carolina State,Asheville,0,Raleigh,1,1200,1:12,,,transcript/1915/1915-CDO/boxes/NCSL-19150513.txt,"Charlotte Daily Observer, May 18, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,x,,,,,,,,,,,,
